,content
15,　　短视频和直播，已成为年轻人热衷的全新娱乐方式。商汤科技“SenseAR”的增强现实感引擎，具备全球领先的面部特征点定位、人脸检测及追踪等技术，也是目前世界上唯一面向移动端的，支持手势识别、前背景实时检测和绘制的特效系统。借助SenseAR，用户可以在Faceu、小咖秀、一直播、熊猫直播等直播软件中，开启实时美颜、猫耳朵趣味贴纸等特效，乃至动作增强、背景替换等等一系列好玩的功能。
16,　　日前，IDC的两项调查数据显示，中国手机厂商于2016年10月份在印度最主要的30个城市拿下了40%的市场份额。这意味着，国产手机厂商在印度取得了阶段性胜利，印度手机市场形成本土品牌、韩国品牌、中国品牌三足鼎立的态势。国内厂商选择印度作为出海第一站的重要原因是专利门槛相对较低，而国产手机在印度销售的机型以低端机为主，又不可避免地陷入价格战。
17,"　,　国内厂商瞄准“第二个中国市场”"
18,　　市场研究公司Counterpoint Research的调查数据显示，2016年印度智能机市场用户数量完成了对美国市场的“逆袭”，凭借23%的强劲增长在第二季度一跃成为全球第二大智能手机市场。
19,　　2016年印度人口已达13.4亿，手机市场红利还没有完全释放，其智能手机的普及率不足三分之一。苹果CEO库克曾表示：“现在的印度就是十年前到七年前的中国市场。” 也就是说，印度很有可能在未来五年迎来爆发式增长，因此也成为中国手机厂商的必争之地。
20,　　2016年12月底，IDC发布调查报告显示，中国手机厂商于去年10月份在印度最主要的30个城市拿下了40%的市场份额。尽管三星仍然占据第一的位置，但二三名都被中国手机厂商拿下。其中，三星市场份额为26.1%，较上月增长15.8%，联想(包括摩托罗拉)以13.4%的份额位居第二，较上个月增长了50%，小米以10.7%的份额位列第三，较上月增长41.7%。
21,　　与此同时，印度本土手机厂商的市场份额则在减少，Micromax10月份的市场份额为6.8%，比上个月下跌16.7%。此外据外媒报道，2010年进入印度智能手机市场的宏碁(Acer)近日宣布，将停止在印度市场销售智能手机。
22,　　电信专家康钊认为，印度手机市场的销量还没有完全释放出来，如果是一个成熟的市场再进去已经没什么机会了，大家预计印度现在是大爆发的前夜，所以国产手机厂商都在进入印度，市场竞争也日益激烈。
23,　　联想国内挤出前五，急需第二市场
24,　　作为最早进入印度的中国厂商，联想在2016年第三季度获得了当地出货量第二。然而近几年，联想手机在国内的份额不断被OPPO、华为蚕食，29亿美元收购摩托罗拉还导致联想此后的很长一段时间都处于亏损状态。联想早已被挤出国内手机出货量前5，急需开拓第二市场提振业绩。
25,　　2012年，联想先于国内其他品牌进入了印度智能机市场，当时三星取代诺基亚成为印度最大智能机供应商，本土品牌Micromax、Karbonn开始发力，Nokia和Sony虽呈退出之势，但仍占据主要的市场份额。
26,　　据了解，目前印度还处于功能机向智能机过渡的阶段，印度手机市场功能机的市场份额仍占65%。受消费水平限制，印度的手机售价为100美元左右，远低于当年国内竞争惨烈的千元机定价。
27,　　世界银行发布的2015年人均国民收入(GNI)报告显示，印度人均国民收入为1590美元，不到我国人均国民收入的四分之一。印度用户对价格敏感度很高，低端机受追捧。
28,　　联想在印度市场延续了双品牌战略，Lenovo专攻中低端，Motorola主攻高端市场。据联想印度董事总经理和首席执行官阿格瓦尔透露，联想在印度的手机出货量中，摩托罗拉占三分之一，联想占三分之二。电信专家康钊告诉记者，“并不是厂商有意搞价格战，主要是定价1000元以上的手机在印度很难卖得动。”
29,"　,　国内厂商发力抢占印度线下渠道"
30,　　GfK统计显示，印度线下有50万个卖手机的店面，比较分散而且规模很小，线下渠道建设成本高昂且成效一般。联想在调查后决定先放弃线下渠道的建设。
31,　　阿格瓦尔(Rahul Agarwal)向媒体表示，“在印度这样复杂的地理环境中建立稳定的线下分销网络成本过高。”联想选择了互联网手机的玩法，聚焦上网时间更长的年轻人，通过电商渠道在线销售，有效控制销售成本的同时可以给出更低的价格。
32,　　全印度的人民都可通过线上平台购买新款手机，联想已覆盖全印度3000多个城镇，克服了线下布点的局限，尤其对三四线城镇居民而言，线上购买是其获得新款手机的重要渠道。
33,　　不过目前，随着国内厂商进入印度，联想开始发力抢占印度线下渠道。据不完全统计，目前联想在印度各地有大约10000家门店，包括品牌商店(约1000家)、多品牌店、小型妈妈店(便利店)。有2000名联想的工作人员在这些零售店进行管理，摩托罗拉的大多数产品都可以在线下零售货架上找到。
34,　　CES：一场“人工智能变革”的序幕
35,　　CES是短暂的，但Master的胜利，以及中国企业在拉斯维加斯的精彩表现，将为世界，带来长远而深刻的影响。人工智能被称为第四次工业革命，我们生活的方方面面都将极大依靠智能技术。中国在人工智能领域的创新，无论从学术领域，还是商业应用环境，都将在国际舞台上发挥重要作用。因此，无论对商汤还是对中国的人工智能行业，此次CES更像是一场“AI变革”的序幕。
36,    本报武汉1月2日电  （记者付文）我国最大的单体投资项目——国家存储器基地项目，近日在武汉东湖新技术开发区正式动工建设。该项目总投资约1600亿元，主要生产存储器芯片，总占地面积达1968亩。
37,    项目一期计划于2018年建成投产，到2020年总产能达到每月30万片。该项目由紫光集团联合国家集成电路产业投资基金、湖北省集成电路产业投资基金、国开发展基金有限公司和湖北省科技投资集团有限公司共同出资建设。
38,　　联想加速布局线下渠道主要是受到了来自竞争对手的压力。第三季度登顶国内智能手机出货量排行冠亚军的OPPO和 vivo在印度继续坚持着线下推广的模式。每逢节假日线下店就会有打折促销活动，迎合了印度居民习惯现金交易、对电商信赖度有待提高的特点。
39,　　vivo参考中国市场的线下代理方式，派遣国内的省级代理合作伙伴入驻每个城市，计划在核心城市周边的城镇、乡村等地方建立服务中心，满足印度零售商的需求。
40,　　而小米在第三季度销量大涨的一个重要原因在于其发力线下渠道，去年7月小米宣布与Just Buy Live和富士康旗下的InnoConn合作，拓展分销渠道，增加其在小城市和乡镇中的销售。这次合作将让小米在短时间内入驻5000家商铺。
41,　　除了手机，小米也将生态链产品带到了印度，旗下的小米净化器在印度大卖，据悉，小米还会设立投资基金帮助实现小米生态在印度的落地。此外，华为也在近日宣布将合作商店的数量从千家提升至5万家。
42,"　,　【机遇】"
43,　　专利门槛相对较低
44,　　国产厂商选择印度作为出海第一站的一个重要原因就是专利门槛相对较低。不过，近年来国产手机厂商在印度面临多起专利诉讼。杜比实验室(Dolby)在印度起诉了OPPO、vivo两家中国智能手机厂商，小米因涉嫌侵犯技术专利被爱立信起诉至印度德里高等法院，爱立信申请“临时禁令”并获同意，红米Note和红米1S手机暂停销售。
45,　　据中国政法大学知识产权研究中心特约研究员李俊慧介绍，在印度申请“销售禁令”较为便利，这恐怕是爱立信、杜比等公司纷纷将专利战场选择在印度的原因之一。小米、OPPO和vivo向法院提出交纳每台设备100卢比、34卢比的保证金，暂时避免在印度“禁售”。小米临时获得使用高通芯片手机的继续销售，而搭载联发科芯片的手机仍处于“禁售”状态。
46,　　李俊慧告诉记者，国产厂商应该对拟进入地区或国家的行业专利情况“摸底”，提前通过达成专利许可合作，排除业务做起来之后带来的诉讼压力。很多专利巨头并不会一开始就施压，而是待相关厂商出货量达到相当水平之后，才会起诉，这容易给一些厂商造成麻痹心理，以为此领域或行业并无壁垒，进而盲目投入但最后骑虎难下。此外，国产手机厂商应主动做好自身专利积累，积极参与相关标准制定，虽然看似“笨”，但却能让自己走得更远。
47,　　联想则是通过重金收购的方式来获取专利，收购摩托罗拉获得了2000多项专利、2.1万项专利的交叉授权，收购专利组织UnwiredPlanet持有的21项专利，并同时获得2500项专利的交叉授权，收购NEC在全球多个国家申请的超过3800项专利组合。
48,"　,　【挑战】"
49,　　价格战和关税
50,　　国产手机在印度销售的机型以低端机为主，不可避免地陷入价格战，努比亚总经理倪飞曾向媒体透露，印度手机市场价格战比国内还夸张。就连从不参与价格战的苹果也在反思在印度的定价策略，iPhone 6s和iPhone 6s Plus两款机型上市两个月后，价格下调了15%。
51,　　非本土制造的手机销往印度会征收高昂的进口关税，国产手机厂商为了降低关税、物流成本，进而定出价格更低的手机，纷纷选择在印度投资建厂。2014年莫迪政府提出“印度制造”计划，随后推出了一系列政策，去年3月，莫迪政府在新财年预算案中宣布对4种配件(电池、充电器、耳机、数据线)征收29.44%的进口关税。2个月后的最新财年预算修正案中稍作修改，改对手机电池等手机零配件课征12.5%的反补贴税。尽管有所降低，不过与最初的6%税率相比还是高出了很多。
52,　　从长远来看，印度政府计划到2020年实现电子产品零进口，想在印度长期发展的前提就是投资建厂或者生产相关的零配件。
53,　　在印度投资建厂似乎已成了国产厂商的规定动作，OPPO日前宣布将投资2.16亿美元在印度大诺伊达地区建设新的工业区。该工业园区占地1000亩，设施包括生产基地，SMT生产线建设工作将分几期逐步进行，预计在2至3年里完成建设工作。近期产量5000万台，远期可视状况增加到1亿台。
54,　　事实上，选择在印度建厂的国产手机厂商不在少数，小米与富士康联合建设多所印度工厂，华为也在去年8月开始推进印度制造计划。印度本土建厂一方面可以完善自身在当地的生产链，另一方面也是迫于印度政府的政策限制。
55,　　新京报记者 马婧
56,    做好游戏化设计，能让我们不仅全情投入虚拟世界，也能积极投入现实生活的改善之中
57,    下班回家，在电梯的广告牌上，时常闪动着网络游戏的广告；客厅的电视里，精美的网游广告登陆不少知名电视台；侄子在手机上正玩着手游，叫他吃饭也爱搭不理……进入互联网时代以来，游戏从未像现在这般深度裹进我们的生活，占据我们的闲暇与碎片时间。
58,    正如一千个人眼中有一千个哈姆雷特，现实中关于游戏的正负影响，言人人殊。一方面，绝大多数家长视网络游戏为“电子海洛因”，唯恐避之不及，甚至对沉迷的孩子施以电击疗法等极端手段。但另一方面，据《2016年中国游戏产业报告》显示，中国游戏用户规模达到5.66亿人，游戏产业规模实现1655.7亿元，这成为主管部门心中的新兴产业、从业者眼中的朝阳行业。由此看来，游戏究竟是“天使”还是“魔鬼”，取决于在什么样的坐标中看待。
59,    当然，仅用坐标的切换来接纳游戏的影响，显然是消极的。我们能不能让游戏有更多“天使”的成分？这就需要重新审视游戏的本质。哲学家伯纳德·苏茨定义的游戏，就是“自愿尝试克服种种不必要的障碍”。世界上许多运动，诸如足球、篮球、围棋等，莫不是从最初的游戏形态演化而来的。如今，没有人会认为梅西、库里、柯洁是“不务正业”。可见，一项事务是否具有正当性，关键看能否实现参与者的生存与发展以及人生意义。游戏行业衍生电子竞技这样的运动，而现实也正在朝着这个方向发展。
60,    即便如此，我们还是会被玩家花在游戏上的时间吓一跳。有统计表明，如今中国有600万人每周至少玩游戏22小时，相当于干了一份兼职工作；世界所有玩家花在“魔兽世界”上的总时间超过593万年，相当于人类的演进时长……当岁月长河流经现实沃野却被蒸发掉大量水分时，不免引人发出浪费的叹息。但反过来想，如果把这部分时间全用在改变现实世界上，是否值得期待？
61,    把时针回拨到3000年前，小亚细亚的吕底亚出现了全国大饥荒。令人惊奇的是，他们通过游戏来熬过难关：所有人隔天吃饭，吃饭的一天不玩游戏，另一天不吃饭专心玩游戏，以此转移人们的注意力，淡化饥饿感，帮助吕底亚人度过了18年的饥荒。这一来自希罗多德所著的《历史》中的故事，真假无从考证，却道出了游戏另一面：游戏可以是一种介入社会危机的有效方式，也是应对社会共同问题的一种潜在解决方案。
62,    现实中，也不乏游戏化解现实问题的案例。比如现象级游戏《口袋妖怪GO》，大幅提升玩家的运动量，30天内让美国玩家多走了1440亿步；又如中国首款军事游戏《光荣使命》，通过高度仿真的“战争模拟”，已运用到我军军事训练中；再如荷兰鹿特丹设计师发起的“WECUP”项目，将两个垃圾桶分别刷上诸如“伊拉斯谟大桥是分隔还是合并”等有关城市共同议题的标语，让人们将扔纸杯过程变成一次愉快的投票游戏，从而实现大型活动纸杯垃圾的回收。实践证明，做好游戏化设计，能让我们不仅全情投入虚拟世界，也能积极投入现实生活的改善之中。
63,    有人说，“真正的智者，是明知虚无，却像开荒一样，在生命的荒野上建设意义。”对待游戏，我们不能止于“大禹治水，堵不如疏”的选择，而应把“治水”化为“用水”，将现实世界改变得更美好。这就需要游戏设计师跟各行各业的专家、政策制定者合作，引导玩家跳出“打怪PK”，驾驭游戏力量以攻克社会难题的各种“关卡”。
64,　　新京报讯 （记者马婧）近日，网上流传的疑似联通方面通知显示，2016年度年终奖取消，从集团一直扣减到省市，（2016年）12月仅仅发放正常的挂钩清算工资，似乎连绩效奖励也没有。昨天，联通集团回复新京报记者称，该信息为不实消息。
65,　　上述通知称，联通在2016年效益不佳，净利润为负。如果2017年第一季度能完成新的收入、利润目标，则争取补发一定额度的年终奖。
66,　　有员工称已领到年终奖
67,　　联通一名员工向记者表示，他上个月底已领到了年终奖，金额和往年差不多，他所在的部门近期有两人离职，不过也有6名新员工入职，人员流动情况正常。
68,　　据一位业内人士称，联通各分公司根据效益情况自行安排，有的部门发了年终奖，有的部门则没有发放，比如技术部门受到的影响就不大。
69,　　据相关媒体报道，一些省公司员工表示不存在所谓的年终奖，是绩效奖金减少或被取消，原因是全年效益低，没有完成既定任务。据悉，没有完成绩效的约有11个省公司，由于是口头传达，并不清楚具体省份。
70,　　对此，新京报记者联系了联通集团一公关人士，对方表示对此不了解。此外，该人士还表示，这次就是把个别分公司的情况放大到了集团，从集团层面来说就是业绩完成得好会有奖励，没完成指标肯定得有考核。
71,　　中国联通官方微博在昨天上午转载了这样一条微博：“最近有些媒体传播联通2016年亏损、停发年终奖的事儿，有些情况肯定是不属实的。比如财报没有出来，亏损之说何来？的确有些省市分公司因为效益较差，年终奖没有了，这在任何企业都一样啊？况且效益好的一些省市的员工年终奖比以前还多不少呢。运营商早就不是大锅饭了，内部的薪酬差距还是越来越大的。”
72,　　联通去年前三季度利润下滑8成
73,　　不久前，中国联通公布2016年11月运营数据，4G用户净增503.8万户，累计达到9903.3万户。不过固网宽带用户本月净减少7万户，达7540.2万户。
74,　　而在2016年10月份，其4G用户净增508.9万户，移动出账用户净增50.7万户，固网宽带用户净增42.2万户。
75,　　对比其2016年9月份的运营数据可以发现，去年的10月份和11月份中国联通4G用户、移动出账用户、固网宽带用户增幅是放缓的。
76,　　新京报记者注意到，去年前三季度，A股上市公司中国联通归属净利润下滑81.83%；营收下滑2.25%。2015年其归属净利润下滑12.81%，营业收入下滑3.99%。
77,　　另一名联通员工则表示，去年效益不好，不像以前那么稳定了。
78,　　■ 延展
79,　　2015年联通数位高管薪酬为63万-65万
80,　　国资委考核分配局2016年12月29日公布的数据显示，移动、联通、电信三大运营商高管团队平均薪酬在70万元左右。
81,"　　,中新网,1月4日电  今明两天，大年初六(2月2日)初七(2月3日)的车票正式开售。已经成功抢到节前返乡车票的乘客一定要提高警惕，因为根据往年经验，这两天将会是今年春运的首个返程抢票高峰。"
82,　　从正月初五开始，很多一线城市的上班族就开始踏上返程之路，初六初七则是返程客流最密集的时候。“很多上班族，特别是一线城市的政企事单位员工，由于单位管理相对严格，都需要在初七开始返回工作岗位，因此这两天的车票肯定会比较抢手。”360手机浏览器抢票专家解释说。
83,　　“另外，对于那些节前抢票失败的乘客也不要过于失望，毕竟现在据春节还有近一个月的时间，仍有机会采用捡漏购票或抢临客票的方式购得车票。”专家补充说。
84,　　受春运提前、预售期缩短、客流叠加等因素的影响，今年春运抢票比往年更加激烈，热门城市和热门线路的车票都出现了开售瞬间即“秒光”的情况。
85,　　专家建议：“抢票要尽量避开高峰期，同时注意捡漏票，购票时也可选择跳站购票，多措并举提升成功率。目前，铁路部门也已增开了一批普通临客列车，方便沿途中小城市旅客出行。”
86,　　据了解，本次春运抢票有5个抢票高峰点，分别为每天9:00-9:30、11:30、13:00-13:30、14:00-14:30、16:30。其中16：30是放票最密集的时段。而抢票成功率最高的时段通常是放票后半分钟内。开售30分钟(支付时间)后、开车前15天、开车前48小时、开车前24小时等时间点也是捡漏购买阶段。
87,　　“此外，每天早六点和晚十点，12306都会放出一批新票，只是没有规律性，出发地和目的地并不固定，所以建议大家一定要多关注余票信息。”专家提醒。
88,"　　除了留意返程时间，避免错过返程日期及借鉴采纳切实有效的抢票秘诀之外，一款靠谱的抢票软件更是必不可少。作为中国用户量最大的第三方抢票平台，2011年以来,360浏览器累积帮助全国两亿多用户顺利买到春运车票，已占据浏览器抢票市场超过七成份额。"
89,　　据统计，2017年铁路预计发送旅客量3.56亿人次，同比增长9.7%，再次创下历史新高。而随着网络的发展，春运互联网售票占比也越来越高。今年12月25日当天各渠道发售火车票为1097.1万张，其中互联网发售车票就高达73.8%。
90,　　人民网北京1月4日电(记者孟哲)昨日，工信部发布《工业和信息化部关于收回部分电信网码号的通告》。通告指出，根据《电信网码号资源管理办法》(原信息产业部令第28号)有关规定，经公示且无异议，我部现收回部分电信网码号。上述码号原使用单位应当做好退回码号相关善后工作，相关基础电信运营企业应当做好相应网络数据处理工作，确保网络安全运行。
91,　　以小米为列，10046是小米科技有限责任公司的客服号码。和基础运营商一样，虚拟运营商也需要客服号码与客户沟通。小米方面表示，10046系公司主动申请退回。小米自2015年9月移动转售业务开展以来，对外公布的客服短号码为400-922-3838。转售业务立项初期，向工信部申请10046作为小米移动备用客服短号码，但因业务上线运营在先，10046客服短号码申请审批在后，所以10046备用客服短号一直处于未启用状态，而400-922-3838已成为小米移动用户最熟悉的客服热线。小米移动为不占用国家短号码资源，于2016年5月主动向工信部申请退回10046客服短号。
92,
93,
94,
95,
96,　　中国大学生电子竞技联赛(UCG)全国总决赛暨亚洲邀请赛在武汉成功举办，这场为期两天的高校电竞盛会吸引了众多玩家参与，让许多人看到了高校电竞的热情和魅力。UCG全国总决赛的成功举办和众多赞助商的支持密不可分，UCG也创造了高校电竞赛事和传统实业、IT、电竞等不同领域赞助商完美结合的典范。
97,　　作为国内最专业最权威的高校电竞赛事，UCG在2016年得到了众多厂商的青睐，多元化的合作在UCG元年大放异彩。娃哈哈、滴滴快车、BB社交、EICW、追书神器、电视猫等覆盖用户日常使用的厂商纷纷与UCG展开合作。Alienware、宁美国度、达尔优、三星曲面显示器、傲风电竞椅联袂为UCG提供最专业的电竞比赛设备。街球联盟、电竞纪元、GG计划、韩国大学生联合会、日本ESC电竞社等给予了UCG赛事鼎力支持，让国内外的高校学子一起参与到这场高校电竞盛会当中。
98,"　,　各行各业涉足高校电竞，UCG成为业界先锋"
99,　　根据艾瑞咨询的统计，2016年中国电竞用户整体规模将达到1.7亿人，较去年增长34.9%。到2018年，电竞用户整体规模有望达到2.8亿人。电子竞技在中国的快速发展引起越来越多厂商的关注，UCG作为国内高校赛事的佼佼者，不仅凭借着09若风的明星团队持续扩大赛事品牌影响力，而且用其权威、专业的电竞赛事品质获得了广大同学和社会各界的一致认可。
100,　　作为全球领先的饮料生产企业--娃哈哈正是看准了这个契机成为UCG独家饮料赞助商，该次合作是高校顶尖电竞赛事与传统行业领导品牌的强强联手，为高校电竞和传统行业的合作提供了更多可能性。
101,　　与此同时，UCG还得到了国内最大的出行平台--滴滴快车的支持，在UCG总决赛期间滴滴快车为武汉观赛的玩家提供了出行大礼包，提高了总决赛观赛体验。国内新兴的电竞社交平台--BB社交和UCG展开了深入合作，在总决赛期间携手IM战队到场掀起了职业电竞与高校电竞的赛事互动热潮。国内著名潮牌--EICW、最强小说导读助手—追书神器、电视视频服务--电视猫也给予了UCG全国总决赛大力支持。
102,　　随着电竞在全球范围内的高速发展，在受到各方资本竞逐的同时，各行业与电竞相结合的案例数不胜数。UCG多元化扩展的商业模式，促使了各行各业积极参与到高校电竞的发展当中，为中国电竞产业的持续发展做出了积极的贡献。
103,　　联手各大电竞硬件厂商，UCG打造顶级赛事
104,　　随着教育部将“电子竞技运动与管理”增补进高校招生专业，电子竞技成高校专业引起社会广泛热议，在业界看来电子竞技俨然成为一种流行趋势。从硬件到服务，更多的厂商开始专注投入到电竞细分市场。电竞赛事的发展也需要更专业细致的硬件厂商提供保障，本次UCG总决赛用机就得到了Alienware、宁美国度的支持，前者是享誉全球的整机厂商、高品质的代名词，后者为国内最优质的DIY整机厂商。
105,　　达尔优自从和电竞结缘之后，全力支持着中国电竞事业的的发展，成为国内电竞业界曝光率最高的外设厂商之一，而本次涉足高校电竞，赞助UCG更是体现了达尔优对高校电竞的重视。一直以来致力于促进中国电竞事业健康成长的三星曲面显示器，成为了本次UCG的独家显示器赞助商，为参赛选手提供专业性能加持帮助他们获得优异的比赛成绩。此外傲风电竞椅作为UCG赛事比赛专用椅，为UCG的高校选手们镀上了职业范儿。
106,"　　,输出优质赛事内容，UCG致力成为业界标杆"
107,　　在电竞赛事方面的合作UCG则得到了《街球联盟》、电竞纪元、GG计划、韩国大学生联合会、日本ESC电竞社的鼎力支持。UCG不仅和《街球联盟》共同推出“MVP计划”，更是将明星效应扩展到传统体育明星当中，未来还会吸纳更多优秀的竞技手游加入UCG。随着电竞纪元和UCG共同打造的青春励志电竞题材网剧《电竞纪元》的全网热播，UCG也完成了从赛事向娱乐影视的曝光。
108,　　韩国大学生联合会、日本ESC电竞社的跨国支持让UCG走出国门成为一项国际性的高校赛事。来自中日韩各国的顶尖高校选手在UCG这个大舞台上共同谱写了一首亚洲高校电竞之歌。
109,　　随着高校电竞的蓬勃发展，中国大学生电子竞技联赛得到越来越多的赞助商支持，也证实了高校是电子竞技发展的沃土和希望，未来将会有更多的人去关注高校电竞，投入到高校电竞的发展当中。同时在国内外电子竞技高速发展的浪潮上，中国大学生电子竞技联赛必将带动高校电竞迈向新的高峰。
110,　　“男追女是正常，女生主动追求男生就会被说成‘倒贴’，你怎么看待这个问题呢？”
111,　　当拥有472万微博粉丝的情感博主琦殿看到这个让她“话匣子一下就打开了”的问题后，立刻开始整理思绪，琢磨着怎样给出一个令对方满意的答案。每天，她都能在微博上收到数十个网友的提问，然后选出一两个具有普遍性的问题，进行作答。
112,　　半个月前，“微博问答”上线，琦殿成为了首批体验者。网友付费提问，博主撰文回答，获取收益。微博上，诸如琦殿、五岳散人、科普君等拥有百万级别粉丝的“大V”设置的提问价格从几十元至上百元不等。其他网友支付1元可以“偷看”回复，博主和提问者享受“围观分成”。如今，琦殿已经回答了23位网友提出的关于情感方面的问题。
113,　　实际上，微博并非第一个为问答付费的探路者。
114,　　早在2015年12月，逻辑思维创始人罗振宇就推出了付费订阅内容的App平台——“得到”，从售卖大咖专栏起步。2016年5月，付费语音问答平台“分答”上线，网友提出的问题可以获得答主60秒的语音回复。几乎同一时间，知乎在社区原有问答、专栏等文字形式基础上，为用户提供实时的付费问答互动，号召把每个人头脑中的知识“变现”。
115,　　花几十块钱买个回复值得吗？
116,　　小道消息出品人Fenng认为，付费问答不仅仅是得到了一个答案。“有人觉得64元问个问题，太蠢了。也有人会另外算账，以第一波向我提问的网友为例，支付64元，可以得到一次微博帐号曝光，得到围观用户费用的分成。分成最高的一位，赚到的不止64元。”
117,　　北京友谊医院营养师顾中一在微博上拥有超过200万的粉丝，在分答平台，他已坚持回答了730个与饮食、营养方面相关的问题，价格也从一开始的1元提高至50元。“我认为现在的这个价格还是比较适中的，可以通过价格门槛挡住很多无聊的问题，让我精力聚焦在真正有需要的人。”
118,　　随着内容付费趋势渐起，花钱让自己信赖的“大V”回答问题已经逐渐成为一种潮流。问卷网的一项调查显示，73.9%的受访者会为了获得某一问题的答案而去付费，56.5%的受访者认为人们热衷于付费问答活动是为了获取独到见解和指点。艾瑞咨询发布的《2016年中国网络新媒体用户研究报告》中提到，33.8%的新媒体用户已经产生过对数字内容的付费行为，15.6%的用户有进行付费的意愿但是还没有付费行为。而在2014年，数据曾显示有69.7%网民不愿意付费互联网内容。
119,　　在去年的“微博V影响力峰会”上，微博公布了自媒体117亿的年度总收入，其中有4.7亿来自付费阅读和打赏。
120,　　在“分答”创始人嵇晓华看来，分享经济孕育了知识网红。“付费后给你一个更加定向的结果，这和你在互联网上随便看到一个东西，是不一样的感受。从分享车子、房子，到今天分享头脑中的价值，在整个分享经济大的习惯变化上，人们发生了变化。”
121,　　除了一对一问答平台，“会员专区”“定制付费”等产品形式也应运而生。就在近期，TMT社群媒体钛媒体也发布了专业版的付费服务产品，表示要在付费专业版中提供更加优质的内容、数据、信息。
122,　　曾体验过内容付费产品的章凌对此持怀疑态度，“早期的互联网为了争夺用户，内容几乎都是免费的，这似乎已经成为人们的一种习惯，收费以后，不怕产品‘夭折’吗？”
